
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
OLD       01-001702 O US AL HALEYVILLE       34 12 53.05N 087 38 16.83W TOWER              1 00350 01263 M 4 E N 2010ASO07006OE C2017080 
NEW       01-001702 O US AL HALEYVILLE       34 12 53.05N 087 38 16.83W TOWER              1 00346 01259 M 4 D N 2024ASO24342OE C2025263 
OLD       01-001714 O US AL BRUNDIDGE        31 39 41.00N 085 48 20.00W TOWER              1 00265 00744 M 2 C N 1996ASO00863OE C2014138 
NEW       01-001714 O US AL BRUNDIDGE        31 39 40.86N 085 48 20.37W TOWER              1 00265 00744 M 2 C N 2025ASO04978OE C2025263 
OLD       01-001767 O US AL ATTALIA          34 07 52.40N 085 59 36.18W TOWER              1 00267 01361 M 2 C N 2006ASO00315OE C2007014 
NEW       01-001767 O US AL ATTALIA          34 07 52.40N 085 59 36.18W TOWER              1 00267 01361 M 2 C N 2025ASO07657OE C2025263 
OLD       01-001872 O US AL DADEVILLE        32 50 56.63N 085 46 10.58W TOWER              1 00265 01006 D 5 E N 2009ASO06608OE C2010035 
NEW       01-001872 O US AL DADEVILLE        32 50 56.63N 085 46 10.58W TOWER              1 00256 00997 D 4 D N 2025ASO02966OE C2025263 
OLD       01-001882 O US AL JASPER           33 52 45.75N 087 17 09.93W TOWER              1 00209 00705 D 1 A N 2017ASO13233OE C2018319 
NEW       01-001882 O US AL JASPER           33 52 45.75N 087 17 09.93W TOWER              1 00209 00705 D 1 A N 2025ASO15284OE C2025281 
OLD       01-001898 O US AL TALLASSEE        32 33 23.18N 085 53 45.66W TOWER              1 00315 00707 D 1 A N 2024ASO15094OE C2024282 
NEW       01-001898 O US AL TALLASSEE        32 33 23.18N 085 53 45.66W TOWER              1 00309 00701 D 1 A N 2024ASO21345OE C2025263 
OLD       01-001942 O US AL OPELIKA          32 37 28.00N 085 23 42.00W TOWER              1 00163 00950 D 2 C N 1998ASO03372OE C2014138 
NEW       01-001942 O US AL OPELIKA          32 37 27.68N 085 23 42.23W TANK               1 00160 00947 D 2 C N 2025ASO00321OE C2025263 
OLD       01-002048 O US AL HUNTSVILLE       34 43 05.00N 086 32 22.00W TOWER              1 00417 01977 R 5 E M 1994ASO01603OE C2014138 
NEW       01-002048 O US AL HUNTSVILLE       34 43 05.33N 086 32 21.97W TOWER              1 00417 01977 D 4 D N 2025ASO01184OE C2025263 
OLD       01-002062 O US AL SPRUCE PINE      34 24 09.17N 087 45 27.28W TOWER              1 00321 01334 M 2 C N 2002ASO03246OE C2005142 
NEW       01-002062 O US AL SPRUCE PINE      34 24 09.17N 087 45 27.28W TOWER              1 00321 01334 M 2 C N 2025ASO15689OE C2025290 
OLD       01-002085 O US AL MOULTON          34 30 36.98N 087 17 00.78W TOWER              1 00320 00978 M 2 A N 2003ASO00478OE C2005142 
NEW       01-002085 O US AL MOULTON          34 30 36.98N 087 17 00.78W TOWER              1 00320 00978 M 2 A N 2025ASO14600OE C2025290 
OLD       01-002114 O US AL GREENVILLE       31 55 31.00N 086 33 58.00W TOWER              1 00403 00904 D 2 C N 2012ASO00525OE C2017108 
NEW       01-002114 O US AL GREENVILLE       31 55 31.00N 086 33 58.00W TOWER              1 00403 00904 D 2 C N 2025ASO13620OE C2025262 
OLD       01-002159 O US AL GORDO            33 19 22.84N 087 53 12.08W TOWER              1 00320 00606 D 1 A N 2006ASO04696OE C2007035 
NEW       01-002159 O US AL GORDO            33 19 22.84N 087 53 12.08W TOWER              1 00313 00599 D 1 A N 2025ASO04875OE C2025263 
OLD       01-002176 O US AL UNIONTOWN        32 26 58.09N 087 28 24.69W TOWER              1 00360 00604 M 4 D N 2013ASO01709OE C2017178 
NEW       01-002176 O US AL UNIONTOWN        32 26 58.09N 087 28 24.69W TOWER              1 00352 00596 M 4 D N 2025ASO08917OE C2025263 
OLD       01-002184 O US AL SELMA            32 25 50.73N 086 53 01.03W TOWER              1 00250 00453 D 4 D N 2019ASO33605OE C2020086 
NEW       01-002184 O US AL SELMA            32 25 50.73N 086 53 01.03W TOWER              1 00225 00428 D 4 D N 2025ASO09005OE C2025263 
OLD       01-002191 O US AL GREENVILLE       31 46 24.34N 086 41 38.45W TOWER              1 00342 00753 D 1 A N 2009ASO02501OE C2009169 
NEW       01-002191 O US AL GREENVILLE       31 46 24.34N 086 41 38.45W TOWER              1 00342 00753 D 1 A N 2025ASO12435OE C2025290 
OLD       01-002214 O US AL KILLEN           34 50 46.00N 087 23 24.00W TOWER              1 00320 00938 D 5 D N 1999ASO04799OE C2014138 
NEW       01-002214 O US AL KILLEN           34 50 45.50N 087 23 23.38W TOWER              1 00304 00917 D 4 D N 2025ASO14547OE C2025290 
OLD       01-002267 O US AL EUFAULA          31 46 04.98N 085 11 51.75W TOWER              1 00332 00682 D 4 D N 2019ASO05613OE C2019140 
NEW       01-002267 O US AL EUFAULA          31 46 04.40N 085 11 51.60W TOWER              1 00332 00682 D 4 D N 2025ASO10579OE C2025263 
OLD       01-002325 O US AL ELKMONT          34 55 10.38N 086 53 53.67W TOWER              1 00320 01141 D 2 C N 2022ASO20468OE C2023298 
NEW       01-002325 O US AL ELKMONT          34 55 10.38N 086 53 53.67W TOWER              1 00304 01125 D 2 C N 2024ASO23030OE C2025263 
OLD       01-002340 O US AL NEW HOPE         34 31 54.29N 086 24 45.92W TOWER              1 00320 00910 D 2 C N 2000ASO04406OE C2005100 
NEW       01-002340 O US AL NEW HOPE         34 31 54.29N 086 24 45.92W TOWER              1 00309 00899 D 2 C N 2025ASO14552OE C2025290 
OLD       01-002361 O US AL VERNON           33 45 55.97N 088 07 16.53W TOWER              1 00316 00639 D 2 C N 2021ASO22270OE C2021307 
NEW       01-002361 O US AL VERNON           33 45 55.97N 088 07 16.53W TOWER              1 00316 00639 D 2 C N 2025ASO02377OE C2025263 
OLD       01-002375 O US AL ATTALA           34 01 21.00N 086 06 44.00W TOWER              1 00270 00825 D 2 C N 2000ASO03634OE C2002314 
NEW       01-002375 O US AL ATTALA           34 01 21.98N 086 06 42.49W TOWER              1 00270 00828 D 4 D N 2025ASO12970OE C2025263 
OLD       01-002423 O US AL LIVINGSTON       32 27 45.21N 088 07 04.81W TOWER              1 00315 00408 D 2 C N 2017ASO13288OE C2018039 
NEW       01-002423 O US AL LIVINGSTON       32 27 45.21N 088 07 04.81W TOWER              1 00315 00408 D 2 C N 2025ASO14610OE C2025290 
OLD       01-002427 O US AL EPES             32 41 49.81N 088 08 15.92W TOWER              1 00259 00425 D 1 A N 2006ASO04690OE C2007028 
NEW       01-002427 O US AL EPES             32 41 49.81N 088 08 15.92W TOWER              1 00259 00425 D 1 A N 2024ASO23157OE C2025263 
OLD       01-002433 O US AL LANETT           32 49 50.57N 085 12 25.36W TOWER              1 00203 00860 D 1 A N 2003ASO03508OE C2005149 
