
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
ADD       06-323386 U US CA ONTARIO          33 59 04.09N 117 37 36.94W POLE               1 00040 00695 N 4 D N 2023AWP14163OE A2025263 
ADD       06-323388 U US CA POMONA           34 03 18.64N 117 43 41.58W TOWER              1 00122 00995 N 4 D N 2025AWP04548OE A2025263 
ADD       06-323401 O US CA VACAVILLE        38 24 18.06N 121 58 45.79W T-L TWR            1 00085 00266 N 4 D N 2024AWP03406OE A2025263 
ADD       06-323403 U US CA SANTA MONICA     34 02 25.12N 118 28 40.41W UTILITY POLE       1 00043 00282 N 4 D N 2025AWP04564OE A2025263 
ADD       06-323418 U US CA SAN DIEGO        32 44 23.90N 117 07 38.60W BLDG               1 00019 00339 N 4 D N 2025AWP05005OE A2025263 
ADD       06-323446 U US CA MEADOW VISTA     38 58 42.18N 121 01 20.69W UTILITY POLE       1 00049 01987 N 4 D N 2025AWP02410OE A2025263 
ADD       06-323447 O US CA FRESNO           36 45 02.15N 119 48 04.36W TOWER              1 00090 00379 N 2 C N 2025AWP01903OE A2025263 
ADD       06-323452 U US CA DUBLIN           37 42 14.09N 121 54 05.68W T-L TWR            1 00086 00418 N 4 D N 2025AWP01035OE A2025263 
ADD       06-323453 O US CA KING CITY        36 12 22.28N 121 06 53.49W TOWER              1 00092 00470 N 1 A N 2025AWP01582OE A2025265 
ADD       06-323454 U US CA FINLEY           39 00 49.84N 122 54 43.17W T-L TWR            1 00061 01556 N 4 D N 2025AWP03157OE A2025263 
ADD       06-323457 U US CA FRESNO           36 46 56.35N 119 46 16.91W T-L TWR            1 00095 00411 N 4 D N 2025AWP03822OE A2025264 
ADD       06-323458 U US CA NORTH HIGHLANDS  38 41 12.89N 121 21 39.20W TOWER              1 00160 00288 N 4 D N 2025AWP04074OE A2025263 
ADD       06-323467 U US CA MONTEREY         36 35 15.40N 121 51 11.90W POLE               1 00012 00217 N 4 D N 2022AWP10045OE A2025263 
OLD       06-323468 U US CA FRENCH CAMP      37 54 40.56N 121 16 12.63W UTILITY POLE       1 00082 00096 N 4 D N 2022AWP10379OE A2025128 
NEW       06-323468 U US CA FRENCH CAMP      37 54 40.56N 121 16 12.63W T-L TWR            1 00082 00096 N 4 D N 2022AWP10379OE C2025263 
ADD       06-323495 U US CA YUCCA VALLEY     34 08 14.38N 116 24 49.90W UTILITY POLE       1 00043 03489 N 4 D N 2024AWP16061OE A2025262 
ADD       06-323496 U US CA YUCCA VALLEY     34 08 18.28N 116 24 21.80W UTILITY POLE       1 00043 03448 N 4 D N 2024AWP16063OE A2025263 
ADD       06-323497 U US CA YUCCA VALLEY     34 07 37.16N 116 24 45.72W UTILITY POLE       1 00034 03266 N 4 D N 2024AWP16056OE A2025262 
ADD       06-323498 U US CA YUCCA VALLEY     34 08 17.29N 116 24 26.06W UTILITY POLE       1 00043 03445 N 4 D N 2024AWP16062OE A2025263 
ADD       06-323499 U US CA YUCCA VALLEY     34 08 27.46N 116 24 20.36W UTILITY POLE       1 00043 03565 N 4 D N 2024AWP16064OE A2025263 
ADD       06-323506 U US CA LOMPOC           34 41 12.83N 120 26 16.53W T-L TWR            1 00062 00396 N 4 D N 2025AWP05056OE A2025263 
ADD       06-323509 U US CA EUREKA           40 46 43.10N 124 07 23.61W UTILITY POLE       1 00063 00187 N 4 D N 2022AWP10864OE A2025263 
ADD       06-323557 U US CA ENCINO           34 09 46.60N 118 31 08.40W TOWER              1 00048 00846 N 4 D N 2025AWP07119OE A2025263 
ADD       06-323650 U US CA SANTA MONICA     34 01 19.39N 118 27 23.15W UTILITY POLE       1 00039 00203 N 4 D N 2022AWP09628OE A2025264 
ADD       06-323672 U US CA HAYWARD          37 40 59.00N 122 05 48.38W TOWER              1 00050 00133 N 4 D N 2025AWP05392OE A2025263 
ADD       06-323677 U US CA TRAVIS AFB       38 16 41.34N 121 56 50.38W UTILITY POLE       1 00043 00127 N 4 D N 2025AWP06726OE A2025273 
ADD       06-323680 U US CA SAN CARLOS       37 29 27.88N 122 16 03.09W UTILITY POLE       1 00047 00254 N 4 D N 2025AWP06724OE A2025273 
OLD       06-323764 U US CA MONTARA          37 33 03.07N 122 27 31.73W UTILITY POLE       1 00066 01553 N 4 D N 2024AWP07728OE A2025161 
NEW       06-323764 U US CA MONTARA          37 33 03.07N 122 27 31.73W T-L TWR            1 00066 01553 N 4 D N 2024AWP07728OE C2025263 
OLD       06-323766 U US CA PENNGROVE        38 18 11.86N 122 35 26.23W UTILITY POLE       1 00072 01062 N 4 D N 2024AWP04304OE A2025161 
NEW       06-323766 U US CA PENNGROVE        38 18 11.86N 122 35 26.23W T-L TWR            1 00072 01062 N 4 D N 2024AWP04304OE C2025263 
OLD       06-323780 U US CA MONTEREY         36 35 11.65N 121 49 33.95W TOWER              1 00052 00296 N 1 A N 2023AWP19437OE A2025162 
NEW       06-323780 O US CA MONTEREY         36 35 11.65N 121 49 33.95W TOWER              1 00052 00296 N 1 A N 2025AWP11496OE C2025263 
ADD       06-323817 U US CA HAYWARD          37 40 06.07N 122 06 05.56W UTILITY POLE       1 00047 00116 N 4 D N 2025AWP07551OE A2025263 
ADD       06-323818 U US CA SAN ANDREAS      38 10 37.39N 120 35 52.67W UTILITY POLE       1 00042 01694 N 4 D N 2025AWP07537OE A2025263 
ADD       06-323875 U US CA LA VERNE         34 05 20.99N 117 47 04.60W UTILITY POLE       1 00043 01035 N 4 D N 2024AWP15866OE A2025264 
ADD       06-323876 U US CA MILLBRAE         37 35 29.91N 122 22 43.53W UTILITY POLE       1 00043 00068 N 4 D N 2025AWP07512OE A2025263 
ADD       06-323877 U US CA MOSS BEACH       37 31 41.66N 122 30 38.41W UTILITY POLE       1 00042 00142 N 4 D N 2025AWP07546OE A2025263 
ADD       06-323880 U US CA THE SEA RANCH    38 46 15.95N 123 30 58.25W UTILITY POLE       1 00049 00332 N 4 D N 2025AWP08358OE A2025263 
ADD       06-323881 U US CA LOS BANOS        37 02 58.47N 120 51 22.74W UTILITY POLE       1 00044 00167 N 4 D N 2025AWP08214OE A2025263 
ADD       06-323882 U US CA FALL RIVER MILLS 41 01 22.71N 121 26 12.11W UTILITY POLE       1 00038 03361 N 4 D N 2025AWP08219OE A2025263 
OLD       06-323909 U US CA LOMPOC           34 42 30.43N 120 26 11.09W UTILITY POLE       1 00063 00528 N 4 D N 2025AWP07576OE A2025196 
NEW       06-323909 U US CA LOMPOC           34 42 30.43N 120 26 11.09W T-L TWR            1 00063 00528 N 4 D N 2025AWP07576OE C2025264 
ADD       06-323920 U US CA HAYFORK          40 29 34.33N 123 12 01.10W TOWER              1 00055 04469 N 4 D N 2025AWP09505OE A2025263 
ADD       06-323948 U US CA RAMONA           33 02 25.88N 116 54 16.23W T-L TWR            1 00052 01454 N 4 D N 2023AWP20609OE A2025274 
ADD       06-324015 U US CA EL CAJON         32 49 51.54N 116 54 13.93W UTILITY POLE       1 00046 00682 N 4 D N 2024AWP02960OE A2025274 
ADD       06-324032 U US CA LIVERMORE        37 41 12.95N 121 44 42.53W UTILITY POLE       1 00042 00609 N 4 D N 2025AWP10879OE A2025263 
ADD       06-324033 U US CA LIVERMORE        37 41 12.97N 121 44 44.98W UTILITY POLE       1 00038 00597 N 4 D N 2025AWP10878OE A2025263 
ADD       06-324034 U US CA LIVERMORE        37 41 12.19N 121 44 42.82W UTILITY POLE       1 00038 00601 N 4 D N 2025AWP10880OE A2025263 
ADD       06-324036 O US CA WEIMAR           39 01 12.82N 120 55 24.76W CATENARY           1 00041 01680 N 4 D N 2023AWP20630OE A2025263 
ADD       06-324356 O US CA ANNAPOLIS        38 40 09.30N 123 18 55.43W CATENARY           1 00051 00647 N 4 D N 2024AWP02529OE A2025262 
ADD       06-324455 U US CA SAN LUIS OBISPO  35 15 14.21N 120 39 33.51W UTILITY POLE       1 00044 00188 N 4 D N 2025AWP03070OE A2025263 
ADD       06-324473 U US CA HYDESVILLE       40 31 28.68N 124 06 47.62W T-L TWR            1 00082 00556 N 4 D N 2024AWP14060OE A2025262 
ADD       06-324539 U US CA SACRAMENTO       38 37 33.48N 121 26 13.63W T-L TWR            1 00101 00139 N 4 D N 2024AWP15069OE A2025247 
ADD       06-324541 U US CA RANCHO CORDOVA   38 34 13.32N 121 17 04.85W MONUMENT           1 00015 00103 U 4 D U 2025AWP08960OE A2025247 
ADD       06-324544 U US CA EL CAJON         32 47 30.83N 116 57 58.44W UTILITY POLE       1 00046 00483 N 4 D N 2024AWP05551OE A2025248 
ADD       06-324545 U US CA EL CAJON         32 47 56.32N 116 57 03.94W UTILITY POLE       1 00051 00499 N 4 D N 2024AWP05553OE A2025248 
ADD       06-324546 U US CA EL CAJON         32 48 42.70N 116 55 47.00W UTILITY POLE       1 00043 00580 N 4 D N 2024AWP04578OE A2025248 
ADD       06-324547 U US CA EL CAJON         32 48 03.05N 116 57 32.50W UTILITY POLE       1 00048 00477 N 4 D N 2024AWP05488OE A2025248 
ADD       06-324548 U US CA IMPERIAL BEACH   32 34 32.15N 117 07 33.19W UTILITY POLE       1 00044 00069 N 4 D N 2024AWP05273OE A2025248 
ADD       06-324549 U US CA RAMONA           33 02 46.04N 116 58 23.61W UTILITY POLE       1 00041 01575 N 4 D N 2024AWP04646OE A2025248 
ADD       06-324550 U US CA RAMONA           33 03 17.74N 116 52 07.17W UTILITY POLE       1 00043 01569 N 4 D N 2024AWP04503OE A2025248 
ADD       06-324551 U US CA LA MESA          32 47 26.40N 116 59 54.10W UTILITY POLE       1 00043 00655 N 4 D N 2024AWP04279OE A2025248 
ADD       06-324552 U US CA LA MESA          32 46 14.30N 116 58 30.20W UTILITY POLE       1 00039 00995 N 4 D N 2024AWP03937OE A2025248 
ADD       06-324554 U US CA MOJAVE           35 01 34.31N 118 08 38.66W T-L TWR            1 00115 02762 N 4 D N 2023AWP19634OE A2025248 
ADD       06-324561 U US CA CLOVERDALE       38 48 16.51N 122 59 20.57W UTILITY POLE       1 00069 00482 N 4 D N 2024AWP04443OE A2025252 
ADD       06-324569 U US CA LONG BEACH       33 49 38.19N 118 07 29.56W UTILITY POLE       1 00037 00076 N 4 D N 2024AWP02130OE A2025252 
ADD       06-324570 U US CA LONG BEACH       33 49 32.25N 118 07 26.60W UTILITY POLE       1 00037 00075 N 4 D N 2024AWP02131OE A2025252 
ADD       06-324571 U US CA TORRANCE         33 49 23.85N 118 20 52.81W UTILITY POLE       1 00042 00139 N 4 D N 2024AWP02363OE A2025252 
ADD       06-324572 U US CA TORRANCE         33 48 59.03N 118 21 16.15W UTILITY POLE       1 00061 00132 N 4 D N 2024AWP03334OE A2025252 
ADD       06-324573 U US CA INGLEWOOD        33 55 58.37N 118 21 40.50W UTILITY POLE       1 00084 00160 N 4 D N 2024AWP02792OE A2025252 
ADD       06-324577 U US CA LONG BEACH       33 49 35.90N 118 10 05.42W UTILITY POLE       1 00029 00095 N 4 D N 2024AWP02793OE A2025252 
ADD       06-324581 U US CA FORT JONES       41 32 28.73N 122 51 14.32W UTILITY POLE       1 00053 02789 N 4 D N 2025AWP04273OE A2025252 
ADD       06-324582 U US CA FORT JONES       41 32 28.74N 122 51 17.01W UTILITY POLE       1 00053 02789 N 4 D N 2025AWP04274OE A2025252 
ADD       06-324583 U US CA FORT JONES       41 34 08.06N 122 50 04.96W UTILITY POLE       1 00062 02803 N 4 D N 2025AWP04299OE A2025252 
ADD       06-324584 U US CA FORT JONES       41 34 09.41N 122 50 02.77W UTILITY POLE       1 00053 02818 N 4 D N 2025AWP04316OE A2025252 
ADD       06-324585 U US CA FORT JONES       41 34 11.71N 122 49 59.07W UTILITY POLE       1 00053 02841 N 4 D N 2025AWP04318OE A2025252 
ADD       06-324586 U US CA FORT JONES       41 34 13.35N 122 49 56.44W UTILITY POLE       1 00057 02803 N 4 D N 2025AWP04319OE A2025252 
ADD       06-324588 U US CA FORT JONES       41 34 13.36N 122 49 54.61W UTILITY POLE       1 00052 02797 N 4 D N 2025AWP04320OE A2025252 
ADD       06-324590 U US CA CANYON           37 48 51.55N 122 12 46.52W CATENARY           1 00092 00462 N 4 D N 2024AWP01623OE A2025252 
ADD       06-324593 U US CA CARLSBARD        33 09 00.91N 117 15 39.78W UTILITY POLE       1 00050 00440 N 4 D N 2024AWP03193OE A2025253 
ADD       06-324594 U US CA EL CAJON         32 46 36.90N 116 58 30.60W UTILITY POLE       1 00039 00607 N 4 D N 2024AWP05554OE A2025253 
ADD       06-324595 U US CA SAN DIEGO        32 47 23.43N 117 11 35.25W UTILITY POLE       1 00039 00304 N 4 D N 2024AWP05452OE A2025253 
ADD       06-324600 U US CA GOLETA           34 26 14.34N 119 50 45.31W UTILITY POLE       1 00048 00077 N 4 D N 2022AWP16373OE A2025253 
ADD       06-324602 U US CA FORT JONES       41 32 28.73N 122 51 19.04W UTILITY POLE       1 00053 02790 N 4 D N 2025AWP04275OE A2025254 
ADD       06-324603 U US CA FORT JONES       41 32 28.69N 122 51 23.81W UTILITY POLE       1 00053 02789 N 4 D N 2025AWP04276OE A2025254 
ADD       06-324604 U US CA FORT JONES       41 35 06.30N 122 50 09.64W UTILITY POLE       1 00058 02824 N 4 D N 2025AWP04291OE A2025254 
ADD       06-324605 U US CA FORT JONES       41 34 10.69N 122 50 00.72W UTILITY POLE       1 00053 02842 N 4 D N 2025AWP04317OE A2025254 
ADD       06-324608 U US CA FORT JONES       41 35 15.48N 122 50 08.67W UTILITY POLE       1 00057 02829 N 4 D N 2025AWP04288OE A2025255 
ADD       06-324609 U US CA FORT JONES       41 35 11.69N 122 50 09.06W UTILITY POLE       1 00058 02829 N 4 D N 2025AWP04289OE A2025255 
ADD       06-324613 U US CA SANTEE           32 51 33.30N 117 00 00.60W UTILITY POLE       1 00034 00522 N 4 D N 2024AWP05867OE A2025258 
ADD       06-324617 U US CA FORT JONES       41 32 25.44N 122 51 28.52W UTILITY POLE       1 00053 02788 N 4 D N 2025AWP04279OE A2025259 
ADD       06-324618 U US CA FORT JONES       41 32 18.25N 122 51 28.59W UTILITY POLE       1 00058 02794 N 4 D N 2025AWP04281OE A2025259 
ADD       06-324619 U US CA FORT JONES       41 32 13.81N 122 51 28.62W UTILITY POLE       1 00058 02795 N 4 D N 2025AWP04282OE A2025259 
ADD       06-324620 U US CA MERCED           37 16 50.96N 120 29 15.20W UTILITY POLE       1 00059 00220 N 4 D N 2023AWP20402OE A2025259 
ADD       06-324622 U US CA FORT JONES       41 32 09.40N 122 51 28.64W UTILITY POLE       1 00057 02795 N 4 D N 2025AWP04283OE A2025260 
ADD       06-324623 U US CA FORT JONES       41 32 04.96N 122 51 28.68W UTILITY POLE       1 00058 02798 N 4 D N 2025AWP04284OE A2025260 
ADD       06-324628 U US CA FORT JONES       41 34 26.42N 122 50 10.69W UTILITY POLE       1 00058 02792 N 4 D N 2025AWP04292OE A2025261 
ADD       06-324629 U US CA FORT JONES       41 34 22.91N 122 50 10.40W UTILITY POLE       1 00053 02790 N 4 D N 2025AWP04293OE A2025261 
ADD       06-324630 U US CA FORT JONES       41 34 19.52N 122 50 10.12W UTILITY POLE       1 00057 02795 N 4 D N 2025AWP04294OE A2025261 
ADD       06-324631 U US CA FORT JONES       41 32 28.19N 122 51 28.46W UTILITY POLE       1 00053 02789 N 4 D N 2025AWP04278OE A2025262 
ADD       06-324632 U US CA FORT JONES       41 32 28.52N 122 51 28.69W UTILITY POLE       1 00052 02788 N 4 D N 2025AWP04285OE A2025262 
ADD       06-324633 U US CA FORT JONES       41 34 16.07N 122 50 09.84W UTILITY POLE       1 00057 02795 N 4 D N 2025AWP04295OE A2025262 
ADD       06-324634 U US CA FORT JONES       41 34 13.70N 122 50 09.19W UTILITY POLE       1 00068 02806 N 4 D N 2025AWP04296OE A2025262 
ADD       06-324635 U US CA FORT JONES       41 34 12.05N 122 50 07.95W UTILITY POLE       1 00053 02812 N 4 D N 2025AWP04297OE A2025262 
ADD       06-324636 U US CA FORT JONES       41 34 13.70N 122 50 07.51W UTILITY POLE       1 00043 02802 N 4 D N 2025AWP04312OE A2025265 
ADD       06-324637 U US CA FORT JONES       41 34 07.66N 122 50 05.59W UTILITY POLE       1 00043 02784 N 4 D N 2025AWP04315OE A2025265 
ADD       06-324638 U US CA FORT JONES       41 34 04.32N 122 50 02.52W UTILITY POLE       1 00057 02798 N 4 D N 2025AWP04300OE A2025265 
ADD       06-324639 U US CA FORT JONES       41 34 00.81N 122 50 00.25W UTILITY POLE       1 00057 02798 N 4 D N 2025AWP04301OE A2025265 
ADD       06-324640 U US CA FORT JONES       41 33 57.16N 122 49 57.87W UTILITY POLE       1 00057 02799 N 4 D N 2025AWP04302OE A2025265 
ADD       06-324641 U US CA FORT JONES       41 32 22.32N 122 51 28.56W UTILITY POLE       1 00053 02788 N 4 D N 2025AWP04280OE A2025265 
ADD       06-324642 U US CA RIDGECREST       35 39 04.33N 117 44 56.52W TOWER              1 00090 02477 N 4 D N 2022AWP03754OE A2025265 
ADD       06-324643 U US CA FORT JONES       41 32 30.66N 122 50 20.57W UTILITY POLE       1 00053 02787 N 4 D N 2025AWP04257OE A2025266 
ADD       06-324644 U US CA FORT JONES       41 32 30.71N 122 50 25.02W UTILITY POLE       1 00053 02790 N 4 D N 2025AWP04258OE A2025266 
ADD       06-324645 U US CA FORT JONES       41 32 28.88N 122 50 29.59W UTILITY POLE       1 00057 02795 N 4 D N 2025AWP04259OE A2025266 
ADD       06-324646 U US CA FORT JONES       41 33 51.47N 122 49 54.14W UTILITY POLE       1 00053 02796 N 4 D N 2025AWP04304OE A2025266 
ADD       06-324647 U US CA FORT JONES       41 33 49.19N 122 49 52.66W UTILITY POLE       1 00053 02796 N 4 D N 2025AWP04305OE A2025266 
ADD       06-324648 U US CA FORT JONES       41 33 47.37N 122 49 51.42W UTILITY POLE       1 00057 02801 N 4 D N 2025AWP04306OE A2025266 
ADD       06-324649 U US CA FORT JONES       41 33 44.89N 122 49 49.17W UTILITY POLE       1 00053 02796 N 4 D N 2025AWP04307OE A2025266 
ADD       06-324654 U US CA OAKLAND          37 47 01.41N 122 12 16.11W UTILITY POLE       1 00042 00170 U 4 D U 2025AWP09450OE A2025273 
ADD       06-324655 U US CA SUTTER CREEK     38 23 50.97N 120 45 32.58W UTILITY POLE       1 00038 01822 U 4 D U 2025AWP12714OE A2025276 
ADD       06-324656 U US CA CONCORD          37 56 59.60N 122 00 25.43W UTILITY POLE       1 00063 00329 N 4 D N 2025AWP13766OE A2025272 
ADD       06-324658 U US CA EUREKA           40 46 56.74N 124 07 40.11W UTILITY POLE       1 00047 00190 U 4 D U 2025AWP13406OE A2025276 
ADD       06-324660 U US CA CLEARLAKE        38 56 10.46N 122 37 12.14W UTILITY POLE       1 00053 01525 U 4 D U 2025AWP09455OE A2025273 
ADD       06-324662 U US CA PACIFIC GROVE    36 36 33.19N 121 54 18.61W UTILITY POLE       1 00042 00263 U 4 D U 2025AWP09449OE A2025273 
ADD       06-324664 U US CA SAN LUIS OBISPO  35 13 04.14N 120 36 23.34W UTILITY POLE       1 00043 00340 U 4 D U 2025AWP08914OE A2025273 
ADD       06-324665 U US CA SOUTH SAN FRANCI 37 38 41.35N 122 26 12.20W UTILITY POLE       1 00044 00160 U 4 D U 2025AWP10882OE A2025273 
ADD       06-324666 U US CA MOSS BEACH       37 30 24.80N 122 27 57.33W UTILITY POLE       1 00042 00301 U 4 D U 2025AWP10886OE A2025273 
ADD       06-324668 U US CA HILLSBOROUGH     37 33 54.61N 122 21 16.93W UTILITY POLE       1 00042 00188 U 4 D U 2025AWP12665OE A2025276 
ADD       06-324669 U US CA SAN JOSE         37 20 05.77N 121 52 31.56W UTILITY POLE       1 00083 00173 N 4 D N 2025AWP12718OE A2025273 
ADD       06-324671 U US CA FREEDOM          36 57 11.70N 121 49 50.41W UTILITY POLE       1 00064 00336 U 4 D U 2025AWP12854OE A2025273 
ADD       06-324672 U US CA DAVIS            38 33 40.99N 121 51 06.64W UTILITY POLE       1 00040 00132 U 4 D U 2025AWP11949OE A2025276 
ADD       06-324674 U US CA FORT JONES       41 34 10.75N 122 50 06.96W UTILITY POLE       1 00058 02818 N 4 D N 2025AWP04298OE A2025267 
ADD       06-324675 U US CA FORT JONES       41 33 42.33N 122 49 46.84W UTILITY POLE       1 00053 02795 N 4 D N 2025AWP04308OE A2025267 
ADD       06-324676 U US CA FORT JONES       41 33 39.79N 122 49 44.54W UTILITY POLE       1 00053 02796 N 4 D N 2025AWP04309OE A2025267 
ADD       06-324677 U US CA RAMONA           33 02 51.31N 116 52 38.07W UTILITY POLE       1 00031 01518 N 4 D N 2024AWP04996OE A2025267 
ADD       06-324680 U US CA SANTEE           32 51 04.70N 116 59 41.20W UTILITY POLE       1 00043 00451 N 4 D N 2024AWP06167OE A2025267 
ADD       06-324683 U US CA BORREGO SPRINGS  33 14 48.07N 116 20 53.00W UTILITY POLE       1 00072 00594 N 4 D N 2024AWP05417OE A2025267 
ADD       06-324684 U US CA FORT JONES       41 32 28.51N 122 51 11.74W T-L TWR            1 00053 02790 N 4 D N 2025AWP04271OE A2025269 
ADD       06-324685 U US CA FORT JONES       41 32 28.85N 122 50 36.38W UTILITY POLE       1 00053 02786 N 4 D N 2025AWP04261OE A2025268 
ADD       06-324690 U US CA FRESNO           36 45 15.40N 119 42 11.15W BLDG               1 00045 00371 N 4 D N 2022AWP10356OE A2025268 
ADD       06-324691 U US CA FRESNO           36 45 16.35N 119 42 08.21W BLDG               1 00045 00371 N 4 D N 2022AWP10357OE A2025268 
ADD       06-324692 U US CA SANTA CLARA      37 22 13.52N 121 58 32.69W UTILITY POLE       1 00084 00131 N 4 D N 2023AWP01365OE A2025269 
ADD       06-324693 U US CA SANTA CLARA      37 22 13.38N 121 58 32.04W UTILITY POLE       1 00084 00131 N 4 D N 2023AWP01366OE A2025269 
ADD       06-324694 U US CA SANTA CLARA      37 22 14.39N 121 58 32.87W UTILITY POLE       1 00050 00097 N 4 D N 2023AWP01367OE A2025269 
ADD       06-324695 U US CA SANTA CLARA      37 22 14.47N 121 58 32.26W UTILITY POLE       1 00050 00097 N 4 D N 2023AWP01368OE A2025269 
ADD       06-324696 U US CA FORT JONES       41 32 28.76N 122 50 48.97W UTILITY POLE       1 00053 02788 N 4 D N 2025AWP04265OE A2025269 
ADD       06-324697 U US CA FORT JONES       41 32 28.81N 122 50 45.03W UTILITY POLE       1 00053 02787 N 4 D N 2025AWP04264OE A2025269 
ADD       06-324698 U US CA FORT JONES       41 32 28.83N 122 50 41.09W UTILITY POLE       1 00053 02787 N 4 D N 2025AWP04263OE A2025269 
ADD       06-324699 U US CA FORT JONES       41 32 28.84N 122 50 37.14W UTILITY POLE       1 00053 02786 N 4 D N 2025AWP04262OE A2025269 
ADD       06-324700 U US CA FORT JONES       41 32 28.64N 122 51 27.71W UTILITY POLE       1 00053 02787 N 4 D N 2025AWP04277OE A2025269 
ADD       06-324706 U US CA FORT JONES       41 32 28.52N 122 50 54.03W UTILITY POLE       1 00053 02788 N 4 D N 2025AWP04267OE A2025272 
ADD       06-324707 U US CA FORT JONES       41 32 28.75N 122 50 52.92W UTILITY POLE       1 00053 02788 N 4 D N 2025AWP04266OE A2025272 
ADD       06-324708 U US CA FORT JONES       41 32 28.53N 122 51 07.35W UTILITY POLE       1 00053 02790 N 4 D N 2025AWP04270OE A2025272 
ADD       06-324709 U US CA FORT JONES       41 32 28.54N 122 51 02.93W UTILITY POLE       1 00053 02788 N 4 D N 2025AWP04269OE A2025272 
ADD       06-324710 U US CA FORT JONES       41 32 28.50N 122 50 58.49W UTILITY POLE       1 00053 02787 N 4 D N 2025AWP04268OE A2025272 
ADD       06-324712 U US CA FIREBAUGH        36 51 24.12N 120 27 12.96W TOWER              1 00080 00224 U 4 D U 2025AWP08658OE A2025272 
ADD       06-324713 U US CA CLOVIS           36 47 28.41N 119 42 55.53W TOWER              1 00080 00423 U 4 D U 2025AWP08373OE A2025272 
ADD       06-324714 U US CA SACRAMENTO       38 41 57.80N 121 34 14.60W SOLAR PANELS       1 00046 00068 N 4 D N 2024AWP11564OE A2025272 
ADD       06-324715 U US CA SACRAMENTO       38 41 56.80N 121 34 15.40W SOLAR PANELS       1 00046 00068 N 4 D N 2024AWP11563OE A2025272 
ADD       06-324716 U US CA SACRAMENTO       38 42 00.60N 121 34 21.90W SOLAR PANELS       1 00046 00066 N 4 D N 2024AWP11562OE A2025272 
ADD       06-324717 U US CA SACRAMENTO       38 42 02.10N 121 34 20.60W SOLAR PANELS       1 00046 00067 N 4 D N 2024AWP11561OE A2025272 
ADD       06-324719 U US CA ONTARIO          34 04 03.69N 117 37 36.65W TOWER              1 00065 01070 N 4 D N 2024AWP12592OE A2025272 
ADD       06-324721 U US CA CLOVIS           36 50 18.00N 119 43 18.55W BLDG               1 00039 00399 N 4 D N 2022AWP21749OE A2025273 
ADD       06-324727 U US CA CONCORD          37 59 30.08N 122 01 37.34W UTILITY POLE       1 00049 00120 N 4 D N 2025AWP03067OE A2025273 
ADD       06-324729 U US CA BAKERSFIELD      35 18 42.83N 119 00 02.09W UTILITY POLE       1 00056 00425 N 4 D N 2025AWP04814OE A2025273 
ADD       06-324730 U US CA PETALUMA         38 13 30.74N 122 37 59.84W UTILITY POLE       1 00047 00129 N 4 D N 2025AWP05514OE A2025273 
ADD       06-324731 U US CA REEDLEY          36 40 36.47N 119 26 38.77W UTILITY POLE       1 00049 00442 N 4 D N 2025AWP05509OE A2025273 
ADD       06-324732 U US CA BAKERSFIELD      35 25 52.14N 119 01 14.55W UTILITY POLE       1 00042 00584 N 4 D N 2025AWP05519OE A2025273 
ADD       06-324734 U US CA REEDLEY          36 39 30.60N 119 26 50.35W UTILITY POLE       1 00038 00419 U 4 D U 2025AWP08941OE A2025273 
ADD       06-324736 U US CA FREEDOM          36 56 33.96N 121 47 12.78W UTILITY POLE       1 00043 00211 U 4 D U 2025AWP09448OE A2025273 
ADD       06-324743 U US CA LIVERMORE        37 44 20.01N 121 46 23.99W T-L TWR            1 00085 00653 N 4 D N 2024AWP15926OE A2025273 
ADD       06-324744 U US CA LIVERMORE        37 44 20.50N 121 46 24.00W T-L TWR            1 00085 00654 N 4 D N 2024AWP15925OE A2025273 
ADD       06-324750 U US CA WOFFORD HEIGHTS  35 42 55.10N 118 26 30.20W UTILITY POLE       1 00052 02794 N 4 D N 2024AWP04899OE A2025274 
ADD       06-324788 U US CA MARIPOSA         37 32 25.46N 119 58 51.73W UTILITY POLE       1 00063 03243 U 4 D U 2025AWP13976OE A2025274 
ADD       06-324790 U US CA SAN LUIS OBISPO  35 16 01.23N 120 38 45.14W SOLAR PANELS       1 00015 00276 N 4 D N 2022AWP10380OE A2025274 
ADD       06-324820 U US CA HOLLISTER        36 53 11.57N 121 25 00.29W BLDG               1 00026 00256 N 4 D N 2023AWP18951OE A2025275 
ADD       06-324821 U US CA SALINAS          36 39 19.00N 121 37 53.49W UTILITY POLE       1 00064 00136 N 4 D N 2022AWP10845OE A2025275 
ADD       06-324949 U US CA FORT JONES       41 32 28.96N 122 51 12.27W UTILITY POLE       1 00053 02790 N 4 D N 2025AWP04272OE A2025280 
ADD       06-324950 U US CA FORT JONES       41 33 47.37N 122 49 48.12W UTILITY POLE       1 00053 02799 N 4 D N 2025AWP04321OE A2025280 
ADD       06-324951 U US CA FORT JONES       41 33 47.42N 122 49 44.68W UTILITY POLE       1 00057 02802 N 4 D N 2025AWP04322OE A2025280 
